,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,18,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Grant,4500,245001,2,2
,Taft,Lincoln,2500,193300,3,5
,Buren,Cleveland,1000,94401,3,4
,Arthur,Hayes,2000,309801,1,1
,総取引における距離の平均,2500.0,合算地,10000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,17,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Washington,2500,94401,1,1
,Nixson,Mckinley,3500,309801,1,11
,Carter,Buchanan,1000,302401,5,5
,Clinton,Truman,3000,348001,1,1
,Coolidge,Garfield,2000,74801,6,10
,Tyler,Hoover,1500,312800,2,2
,Pierce,Polk,4000,309801,2,4
,Lincoln,Fillmore,2000,108001,1,7
,Grant,Monroe,1000,74801,2,9
,Hayes,Arthur,2000,218701,6,6
,Cleveland,Buren,1000,33801,2,12
,総取引における距離の平均,2136.0,合算地,23500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,16,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Carter,2000,158801,1,7
,Bush,Taft,500,108000,1,9
,Hoover,Tyler,1500,257501,3,3
,Truman,Clinton,3000,257501,4,4
,Obama,Jefferson,2500,45801,1,11
,Washington,Madison,1000,97001,5,10
,Monroe,Ford,1500,108001,1,8
,Polk,Pierce,4000,336001,1,1
,Fillmore,Jackson,1000,168001,5,6
,Buchanan,Adams,1500,247901,4,1
,Garfield,Coolidge,2000,33801,2,12
,Mckinley,Harrison,500,302401,2,2
,総取引における距離の平均,1750.0,合算地,21000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Nixson,2000,115201,3,4
,Adams,Eisenhower,2500,232700,2,2
,Jefferson,Reagan,1000,45801,1,5
,Madison,Obama,2000,26401,1,6
,Jackson,Bush,3000,198001,3,3
,Harrison,Nixson,3000,309801,1,4
,総取引における距離の平均,2250.0,合算地,13500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Johnson,1000,108000,2,2
,Reagan,Kennedy,1000,69801,1,3
,Nixson,Taylor,3500,309801,1,1
,総取引における距離の平均,1833.0,合算地,5500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Buren,2000,193300,2,2
,Taylor,Arthur,4500,264801,1,1
,総取引における距離の平均,3250.0,合算地,6500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Roosevelt,1500,94400,3,4
,Buren,Lincoln,1500,94401,1,1
,Grant,Pierce,1500,74801,3,5
,Hayes,Tyler,2500,218701,2,2
,Cleveland,Coolidge,1000,33801,1,6
,総取引における距離の平均,1600.0,合算地,8000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,12,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Garfield,2500,245001,1,6
,Eisenhower,Grant,4000,158801,2,1
,Bush,Buchanan,2500,108001,2,9
,Truman,Hayes,3500,257501,1,5
,Coolidge,Obama,500,74801,6,10
,Tyler,Grant,2000,312801,1,1
,Pierce,Cleveland,3500,309801,3,2
,Lincoln,Carter,1500,108001,3,8
,Arthur,Hoover,2000,309801,2,3
