,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,14,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Hayes,2500,302401,3,3
,Polk,Tyler,500,336001,1,1
,Buchanan,Monroe,1000,247901,4,4
,Lincoln,Madison,1000,108000,5,5
,Grant,Cleveland,2000,74801,3,6
,Harrison,Pierce,3000,309801,1,1
,総取引における距離の平均,1666.0,合算地,10000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,20,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Jackson,3000,108000,2,7
,Truman,Polk,3500,257501,1,3
,Adams,Mckinley,1500,232701,3,4
,Washington,Buchanan,1500,97001,1,8
,Jefferson,Garfield,4000,45801,1,1
,Madison,Lincoln,1000,26401,3,11
,Monroe,Fillmore,1500,108001,1,6
,Tyler,Harrison,1500,312801,1,1
,Pierce,Arthur,4000,309801,2,2
,Hayes,Taylor,2500,218701,4,5
,Cleveland,Grant,2000,33801,2,10
,総取引における距離の平均,2363.0,合算地,26000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,11,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Washington,2000,245001,1,1
,Kennedy,Buren,3000,94401,1,8
,Bush,Ford,1000,108001,1,7
,Coolidge,Jefferson,2000,74801,5,9
,Jackson,Carter,1500,198001,4,5
,Fillmore,Truman,2500,168001,6,6
,Taylor,Nixson,3500,264801,2,3
,Garfield,Obama,1500,33801,1,10
,Arthur,Truman,3500,309801,1,6
,Mckinley,Adams,1500,302401,2,2
,総取引における距離の平均,2200.0,合算地,22000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,8,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Kennedy,1000,69800,2,5
,Nixson,Clinton,500,309801,1,1
,Truman,Taft,2000,257501,2,2
,Ford,Roosevelt,1000,115201,2,3
,Obama,Coolidge,500,45801,1,6
,Buren,Bush,2500,94401,1,4
,総取引における距離の平均,1250.0,合算地,7500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Reagan,1000,193300,2,2
,Clinton,Hoover,1500,348001,1,1
,総取引における距離の平均,1250.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Harrison,2000,257501,1,1
,Grant,Lincoln,500,74800,1,2
,総取引における距離の平均,1250.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Jefferson,1500,108001,7,7
,Carter,Washington,1500,302401,1,4
,Polk,Hayes,3000,336001,1,1
,Pierce,Adams,2000,309800,2,3
,Buchanan,Cleveland,3000,247901,1,5
,Lincoln,Grant,500,108001,4,6
,Harrison,Tyler,1500,309801,1,2
,総取引における距離の平均,1857.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,12,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Carter,2000,158800,2,4
,Bush,Mckinley,3500,108001,1,5
,Adams,Pierce,2000,232701,2,1
,Washington,Polk,4000,97001,3,6
,Jefferson,Buchanan,1000,45801,1,1
,Tyler,Arthur,500,312801,1,1
,Hayes,Taylor,2500,218701,3,3
,Garfield,Madison,3500,33801,3,8
,Cleveland,Coolidge,1000,33801,2,9
