,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,19,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Lincoln,2500,69801,3,8
,Taft,Fillmore,1500,193301,1,3
,Carter,Mckinley,2000,302401,1,2
,Coolidge,Taylor,3000,74801,4,6
,Madison,Arthur,3000,26401,4,10
,Tyler,Polk,500,312801,1,1
,Buren,Buchanan,2000,94401,3,5
,Grant,Jackson,500,74801,5,7
,Garfield,Harrison,1500,33801,3,9
,総取引における距離の平均,1833.0,合算地,16500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,16,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Reagan,500,108000,8,13
,Nixson,Carter,1500,309801,4,5
,Ford,Taft,1500,115201,1,11
,Clinton,Tyler,1000,348001,1,1
,Jefferson,Obama,2500,45801,1,14
,Jackson,Grant,500,198001,8,9
,Polk,Garfield,500,336001,2,2
,Fillmore,Cleveland,500,168001,10,10
,Taylor,Coolidge,3000,264801,6,1
,Buchanan,Adams,1500,247901,8,8
,Lincoln,Monroe,500,108001,2,12
,Arthur,Pierce,4000,309801,3,3
,Harrison,Madison,2000,309801,4,4
,Mckinley,Buren,1000,302401,6,6
,総取引における距離の平均,1464.0,合算地,20500,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,9,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Hayes,5000,245001,1,3
,Bush,Washington,2000,108001,1,6
,Hoover,Nixson,1000,257501,2,2
,Obama,Roosevelt,2000,45801,1,7
,Adams,Ford,1000,232701,4,4
,Monroe,Kennedy,3000,108001,4,5
,Pierce,Clinton,3500,309801,1,1
,Cleveland,Jefferson,3000,33801,1,8
,総取引における距離の平均,2562.0,合算地,20500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,5,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Truman,2000,94401,2,3
,Washington,Bush,2000,97000,1,2
,Hayes,Hoover,3000,218701,1,1
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Johnson,1500,257500,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Madison,1500,193300,2,2
,Carter,Garfield,3000,302401,1,1
,Coolidge,Tyler,1000,74801,1,3
,総取引における距離の平均,1833.0,合算地,5500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,11,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Taylor,1500,115201,3,1
,Madison,Grant,1500,26401,4,6
,Garfield,Polk,500,33801,4,5
,Arthur,Buren,1500,309801,2,3
,Harrison,Fillmore,1000,309801,1,2
,総取引における距離の平均,1200.0,合算地,6000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,16,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Clinton,Pierce,3500,348001,1,1
,Monroe,Cleveland,2000,108001,4,6
,Polk,Coolidge,1500,336001,2,2
,Tyler,Carter,2000,312800,3,3
,Buren,Arthur,1500,94401,3,8
,Taylor,Mckinley,3000,264801,4,4
,Lincoln,Buchanan,500,108001,1,7
,Grant,Harrison,1500,74801,2,9
