,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,16,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Cleveland,2500,108001,7,8
,Roosevelt,Monroe,2500,108001,5,1
,Nixson,Pierce,3000,309801,1,1
,Ford,Buren,1500,115201,1,1
,Clinton,Polk,500,348001,1,1
,Washington,Coolidge,2500,97000,3,11
,Tyler,Jackson,1500,312801,2,2
,Grant,Jefferson,2000,74801,7,10
,Arthur,Hayes,2000,309801,4,1
,Mckinley,Adams,1500,302401,4,5
,総取引における距離の平均,1950.0,合算地,19500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,17,買いたい家の数,16,
,売れた家の数,16,買えた家の数,16,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Arthur,3000,245001,2,6
,Hoover,Nixson,1000,257501,4,4
,Obama,Grant,2500,45801,1,1
,Coolidge,Ford,1500,74801,1,12
,Adams,Clinton,1500,232701,3,8
,Jefferson,Reagan,1000,45801,1,14
,Monroe,Fillmore,1500,108001,1,10
,Jackson,Taft,2500,198001,7,9
,Polk,Clinton,500,336001,1,8
,Buren,Lincoln,1500,94401,1,11
,Taylor,Tyler,4000,264801,1,3
,Pierce,Harrison,3000,309801,2,2
,Buchanan,Mckinley,2000,247901,1,5
,Garfield,Washington,4500,33801,3,15
,Cleveland,Bush,2500,33801,2,16
,総取引における距離の平均,2166.0,合算地,32500,何番目に好きな人に売れたの平均,8.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Obama,1500,158801,2,7
,Reagan,Buchanan,2000,69801,6,9
,Taft,Garfield,2000,193301,5,5
,Carter,Hoover,500,302401,2,3
,Clinton,Buchanan,3000,348001,1,9
,Fillmore,Madison,2000,168001,6,6
,Lincoln,Roosevelt,3000,108001,1,8
,Hayes,Truman,3500,218701,4,1
,Harrison,Taylor,3500,309801,2,2
,総取引における距離の平均,2333.0,合算地,21000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,4,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Carter,1000,257501,1,1
,Madison,Eisenhower,2500,26400,1,3
,Buchanan,Kennedy,3000,247901,2,2
,総取引における距離の平均,2166.0,合算地,6500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Johnson,500,94400,1,1
,総取引における距離の平均,500.0,合算地,500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,14,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Polk,Tyler,500,336001,1,1
,Taylor,Arthur,4500,264801,3,3
,Pierce,Mckinley,2500,309801,2,2
,Grant,Cleveland,2000,74801,1,4
,Garfield,Jackson,2500,33800,2,5
,総取引における距離の平均,2400.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,15,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Taylor,2500,245001,5,7
,Nixson,Polk,1000,309801,3,1
,Hoover,Pierce,2000,257501,4,6
,Carter,Clinton,2000,302401,3,1
,Washington,Fillmore,3000,97001,10,11
,Jackson,Grant,500,198001,8,9
,Hayes,Reagan,3500,218700,6,8
,Arthur,Harrison,1000,309801,2,2
,Cleveland,Taft,2000,33801,1,12
,Mckinley,Garfield,2000,302401,3,4
