,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,16,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Fillmore,2500,158801,3,6
,Kennedy,Monroe,3000,94401,2,8
,Roosevelt,Lincoln,3000,108001,1,7
,Reagan,Grant,3000,69801,4,9
,Hoover,Buchanan,1500,257501,3,1
,Jackson,Adams,1000,198001,3,5
,Tyler,Polk,500,312801,1,1
,Pierce,Arthur,4000,309801,1,2
,Garfield,Madison,3500,33801,1,10
,Cleveland,Jefferson,3000,33801,2,11
,総取引における距離の平均,2500.0,合算地,25000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,23,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Tyler,1500,232701,2,4
,Jefferson,Cleveland,3000,45801,1,9
,Madison,Garfield,3500,26401,1,10
,Monroe,Washington,1500,108001,1,6
,Polk,Tyler,500,336001,1,4
,Fillmore,Hayes,2000,168001,1,5
,Buchanan,Taylor,1000,247901,3,3
,Lincoln,Buren,1500,108001,2,7
,Grant,Coolidge,2000,74800,3,8
,Arthur,Pierce,4000,309801,2,2
,総取引における距離の平均,2050.0,合算地,20500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Roosevelt,1000,108001,1,1
,Clinton,Truman,3000,348001,1,1
,Coolidge,Reagan,1000,74801,3,10
,Washington,Kennedy,2500,97001,2,8
,Tyler,Carter,2000,312801,1,1
,Buren,Eisenhower,3000,94400,3,9
,Taylor,Hoover,2500,264801,4,5
,Hayes,Taft,3500,218701,6,6
,Harrison,Nixson,3000,309801,2,3
,Mckinley,Jackson,500,302401,4,4
,総取引における距離の平均,2200.0,合算地,22000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Ford,2000,245000,4,4
,Nixson,Harrison,3000,309801,1,1
,Taft,Obama,500,193301,4,5
,Truman,Mckinley,3000,257501,3,3
,Carter,Clinton,2000,302401,2,2
,総取引における距離の平均,2100.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,2,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Bush,1000,115201,1,1
,Obama,Johnson,2000,45800,2,2
,総取引における距離の平均,1500.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Garfield,3000,158801,2,2
,Hoover,Jackson,2000,257500,1,1
,総取引における距離の平均,2500.0,合算地,5000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,12,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Pierce,2000,232701,2,2
,Jackson,Cleveland,1500,198001,3,3
,Fillmore,Polk,1000,168000,2,1
,Garfield,Lincoln,3500,33801,3,5
,総取引における距離の平均,2000.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Buren,3000,94401,3,7
,Roosevelt,Monroe,2500,108001,2,6
,Jefferson,Washington,500,45801,1,8
,Madison,Hayes,2000,26401,6,10
,Polk,Fillmore,1000,336001,1,1
,Taylor,Arthur,4500,264801,4,4
,Pierce,Harrison,3000,309801,1,2
,Cleveland,Coolidge,1000,33800,1,9
,Mckinley,Buchanan,2000,302401,1,3
