,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,15,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Polk,2500,158801,7,7
,Taft,Reagan,1000,193300,1,6
,Truman,Carter,1000,257501,4,4
,Jefferson,Obama,2500,45801,1,11
,Jackson,Hayes,1000,198001,5,5
,Tyler,Mckinley,2000,312801,2,2
,Buren,Washington,2500,94401,1,9
,Taylor,Harrison,3500,264801,2,3
,Lincoln,Monroe,500,108001,1,8
,Grant,Coolidge,2000,74801,1,10
,総取引における距離の平均,1850.0,合算地,18500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,17,買いたい家の数,15,
,売れた家の数,15,買えた家の数,15,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Buchanan,3500,245001,1,6
,Roosevelt,Jackson,3000,108001,2,9
,Reagan,Grant,3000,69801,2,12
,Carter,Tyler,2000,302401,3,4
,Clinton,Hoover,1500,348000,1,1
,Obama,Jefferson,2500,45801,2,13
,Coolidge,Buren,1000,74801,1,1
,Washington,Ford,1000,97001,1,10
,Madison,Lincoln,1000,26401,4,15
,Monroe,Fillmore,1500,108001,1,8
,Polk,Arthur,1000,336001,1,7
,Cleveland,Garfield,1000,33801,1,14
,Harrison,Taylor,3500,309801,2,3
,Mckinley,Truman,3000,302401,4,5
,総取引における距離の平均,2035.0,合算地,28500,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,10,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Madison,2000,108001,1,8
,Hoover,Clinton,1500,257501,3,3
,Ford,Cleveland,2500,115201,4,7
,Fillmore,Roosevelt,2000,168001,4,1
,Pierce,Nixson,3000,309801,1,2
,Buchanan,Adams,1500,247901,3,9
,Hayes,Johnson,5000,218700,4,5
,Arthur,Eisenhower,2500,309801,1,1
,総取引における距離の平均,2500.0,合算地,20000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,4,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Pierce,3000,309801,1,1
,Adams,Taft,1500,232701,2,2
,Garfield,Bush,2500,33800,2,3
,総取引における距離の平均,2333.0,合算地,7000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,11,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,9,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Harrison,3500,158801,1,2
,Reagan,Jackson,2500,69801,2,5
,Coolidge,Cleveland,1000,74801,2,4
,Jefferson,Monroe,1000,45800,3,6
,Tyler,Taylor,4000,312801,1,1
,総取引における距離の平均,2400.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,13,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Washington,2500,94401,1,8
,Ford,Coolidge,1500,115201,1,1
,Obama,Fillmore,1000,45801,3,10
,Monroe,Buchanan,1000,108001,1,6
,Jackson,Hayes,1000,198001,4,4
,Polk,Tyler,500,336001,1,1
,Taylor,Mckinley,3000,264801,1,3
,Lincoln,Madison,1000,108001,1,7
,Grant,Jefferson,2000,74801,2,9
,Cleveland,Arthur,500,33801,6,11
,Harrison,Carter,1500,309800,2,2
,総取引における距離の平均,1409.0,合算地,15500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
