,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,13,買いたい家の数,15,
,売れた家の数,13,買えた家の数,13,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Washington,2000,108001,1,13
,Roosevelt,Adams,2000,108001,1,10
,Carter,Arthur,2500,302401,2,4
,Clinton,Truman,3000,348001,1,6
,Tyler,Polk,500,312801,2,2
,Fillmore,Reagan,1500,168000,1,7
,Buchanan,Pierce,500,247901,2,5
,Lincoln,Ford,2000,108001,2,9
,Grant,Garfield,3000,74801,5,12
,Harrison,Mckinley,500,309801,1,1
,総取引における距離の平均,1750.0,合算地,17500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,16,買いたい家の数,15,
,売れた家の数,15,買えた家の数,15,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Tyler,2500,245001,5,7
,Reagan,Fillmore,1500,69801,4,13
,Nixson,Harrison,3000,309801,1,4
,Truman,Clinton,3000,257501,5,6
,Ford,Lincoln,2000,115201,1,1
,Obama,Grant,2500,45801,1,14
,Adams,Tyler,1500,232701,4,7
,Washington,Bush,2000,97001,2,11
,Monroe,Coolidge,1000,108001,1,10
,Buren,Kennedy,3000,94400,1,12
,Pierce,Buchanan,500,309801,2,2
,Garfield,Madison,3500,33801,2,15
,Arthur,Carter,2500,309801,3,3
,Mckinley,Hayes,500,302401,5,5
,総取引における距離の平均,2071.0,合算地,29000,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Buren,3000,94401,1,5
,Coolidge,Monroe,1000,74801,2,6
,Madison,Obama,2000,26401,5,7
,Polk,Hoover,2000,336001,1,1
,Tyler,Cleveland,1000,312801,2,2
,Taylor,Jackson,2500,264801,1,3
,Hayes,Taft,3500,218700,3,4
,総取引における距離の平均,2142.0,合算地,15000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Roosevelt,1500,193300,2,3
,Hoover,Nixson,1000,257501,1,1
,Jackson,Taylor,2500,198001,2,2
,Cleveland,Jefferson,3000,33801,1,4
,総取引における距離の平均,2000.0,合算地,8000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,2,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Jefferson,Eisenhower,2000,45800,1,1
,総取引における距離の平均,2000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Harrison,3500,158800,1,1
,総取引における距離の平均,3500.0,合算地,3500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Fillmore,2000,108001,5,7
,Carter,Buren,1000,302401,4,1
,Obama,Grant,2500,45801,6,8
,Lincoln,Washington,2000,108001,2,6
,Arthur,Nixson,2000,309801,1,1
,Harrison,Adams,1000,309801,1,1
,Mckinley,Monroe,1000,302401,3,5
,総取引における距離の平均,1642.0,合算地,11500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,14,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Ford,1500,94401,4,8
,Nixson,Arthur,2000,309801,1,5
,Adams,Truman,1500,232700,1,3
,Washington,Lincoln,2000,97001,2,6
,Monroe,Arthur,2500,108001,3,5
,Fillmore,Polk,1000,168001,3,4
,Buren,Carter,1000,94401,4,1
,Pierce,Hayes,2000,309801,1,9
,Garfield,Obama,1500,33801,1,10
