,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,17,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Mckinley,4000,94401,2,2
,Madison,Arthur,3000,26401,4,4
,Buren,Garfield,2000,94401,1,1
,Grant,Harrison,1500,74801,3,3
,総取引における距離の平均,2625.0,合算地,10500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,18,買いたい家の数,13,
,売れた家の数,13,買えた家の数,13,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Buchanan,3500,245001,1,6
,Ford,Lincoln,2000,115201,1,1
,Clinton,Truman,3000,348001,1,1
,Washington,Cleveland,3500,97001,3,11
,Jefferson,Nixson,2500,45800,13,12
,Monroe,Obama,1500,108001,6,10
,Fillmore,Taft,1500,168001,1,8
,Taylor,Jackson,2500,264801,1,5
,Hayes,Adams,2000,218701,1,7
,Garfield,Buren,2000,33801,3,13
,Arthur,Grant,2500,309801,1,2
,Harrison,Pierce,3000,309801,2,3
,Mckinley,Madison,1500,302401,3,4
,総取引における距離の平均,2384.0,合算地,31000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Ford,1000,108001,1,10
,Nixson,Polk,1000,309801,1,1
,Taft,Taylor,3000,193301,6,8
,Truman,Kennedy,2000,257500,4,4
,Carter,Jefferson,1000,302401,1,3
,Obama,Coolidge,500,45801,1,11
,Jackson,Clinton,2500,198001,1,1
,Pierce,Tyler,3500,309801,2,2
,Buchanan,Hayes,1500,247901,5,5
,Lincoln,Washington,2000,108001,6,9
,Cleveland,Monroe,2000,33801,1,12
,総取引における距離の平均,1818.0,合算地,20000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,4,買いたい家の数,7,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Bush,1500,74801,1,4
,Adams,Johnson,3000,232700,2,3
,Polk,Johnson,2000,336000,1,3
,Tyler,Fillmore,500,312801,2,2
,総取引における距離の平均,1750.0,合算地,7000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Carter,2500,245001,1,2
,Hoover,Reagan,500,257500,1,1
,総取引における距離の平均,1500.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,3,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Roosevelt,1500,94400,1,1
,Reagan,Buren,2000,69801,3,3
,Grant,Hoover,2500,74801,2,2
,総取引における距離の平均,2000.0,合算地,6000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Taylor,1500,108001,2,5
,Buren,Grant,1000,94401,4,6
,Hayes,Fillmore,2000,218701,1,4
,Arthur,Garfield,500,309801,1,1
,Harrison,Madison,2000,309801,1,2
,Mckinley,Monroe,1000,302401,1,3
,総取引における距離の平均,1333.0,合算地,8000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,15,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Cleveland,3000,158801,4,4
,Taft,Pierce,2500,193300,1,1
,Madison,Arthur,3000,26401,2,7
,Monroe,Mckinley,1000,108001,4,5
,Fillmore,Hayes,2000,168001,3,1
,Taylor,Harrison,3500,264801,1,6
,Garfield,Harrison,1500,33801,5,6
,総取引における距離の平均,2357.0,合算地,16500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
